TIPO DE ACIDENTE,DATA,HORA,REGIÃO,COORDENADA GEOGRÁFICA,SITUAÇÃO CLIMÁTICA/LUMINOSIDADE,CONDIÇÕES DA SUPERFÍCIE DE ROLAMENTO,POSSUI SINALIZAÇÃO HORIZONTAL,POSSUI SINALIZAÇÃO VERTICAL,PRÓXIMO A EQUIPO ELETRÔNICO,HOUVE OUTROS VEÍCULOS ENVOLVIDOS,QUANTOS VEÍCULOS,HAVIA OUTROS OCUPANTES NO VEÍCULO,QUANTOS OCUPANTES,ENVOLVIDOS,FERIDOS,ÓBITOS,FOI REALIZADO O TESTE DE BAFÔMETRO,QUAL O RESULTADO,POSSUI HABILITAÇÃO,VEÍCULO TIPO,HOUVE DANOS AO PATRIMÔNIO PÚBLICO?,HOUVE DANOS AO MEIO AMBIENTE?
Colisão,2007-05-09,07:45,Norte,"-25.391863, -49.280311",Chuva / Dia,Seca,Sim,Não,Não,Sim,2,Não,1,2,2,0,Não,Não realizado,Sim,Caminhão,Não,Não
Atropelamento,2013-04-23,01:30,Centro,"-25.419230, -49.272711",Chuva / Noite,Molhada,Sim,Não,Sim,Não,1,Não,1,4,2,0,Sim,Positivo,Sim,Moto,Não,Não
Atropelamento,2013-07-28,04:30,Leste,"-25.421758, -49.245940",Chuva / Noite,Molhada,Não,Sim,Sim,Não,1,Não,1,3,0,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2006-01-01,15:00,Oeste,"-25.425052, -49.300174",Chuva / Dia,Escorregadia,Sim,Sim,Sim,Não,1,Não,1,1,1,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Capotamento,2024-06-30,15:15,Leste,"-25.436663, -49.230507",Chuva / Dia,Escorregadia,Não,Sim,Não,Não,1,Sim,3,2,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Atropelamento,2013-02-08,12:45,Centro,"-25.426396, -49.266454",Seco / Dia,Seca,Sim,Sim,Não,Não,1,Não,1,4,2,0,Sim,Positivo,Sim,Moto,Não,Não
Colisão,2009-11-27,20:15,Sul,"-25.465119, -49.301035",Seco / Noite,Escorregadia,Não,Não,Não,Não,1,Sim,3,2,0,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Capotamento,2016-03-20,04:30,Oeste,"-25.414403, -49.339520",Chuva / Noite,Molhada,Sim,Não,Não,Não,1,Não,1,1,1,0,Não,Não realizado,Sim,Carro,Não,Não
Colisão,2011-12-09,10:15,Oeste,"-25.435942, -49.324409",Seco / Dia,Escorregadia,Sim,Sim,Sim,Não,1,Sim,5,4,2,0,Não,Não realizado,Sim,Ônibus,Sim,Sim
Colisão,2022-08-30,08:45,Oeste,"-25.435631, -49.308244",Seco / Dia,Molhada,Sim,Sim,Sim,Não,1,Não,1,3,2,0,Não,Não realizado,Não,Moto,Sim,Não
